word,count
पञ्चत्वम,11
मारुतः,11
शूरः,11
गिरेः,11
दुर्धर्षॊ,11
नरशार्दूल,11
निर्ययौ,11
अस्मान,11
अथॊ,11
देवान,11
अस्या,11
धरण्यां,11
सयान,11
भविष्यामि,11
वयाजहार,11
गङ्गां,11
महास्वनम,11
अवेक्ष्य,11
करॊधात,11
इदानीं,11
अवश्यं,11
तरयः,10
इमे,10
वासः,10
रम्यां,10
महाद्युतिः,10
राक्षसराजस्य,10
बाणान,10
आभरणानि,10
धर्मज्ञः,10
हरयः,10
रूपेण,10
भरातुः,10
परॊवाच,10
नीलं,10
महात्मानौ,10
भीरु,10
सुव्रत,10
वृक्षान,10
अन्यॊन्यं,10
कषमं,10
यदा,10
शरियम,10
पितामहम,10
पितामहः,10
वरारॊहे,10
परिया,10
मानुषं,10
कृपणं,10
महानादं,10
वसुधा,10
रम्ये,10
तैस,10
शक्यम,10
इमां,10
शॊभते,10
चिराय,10
भूमिं,10
भयात,10
दुःखार्ता,10
सलिलं,10
सहस्राणि,10
दीप्तम,10
लङ्कायां,10
यथाविधि,10
महाबल,10
शिखरं,10
परदक्षिणं,10
हृदये,10
दविपः,10
अदृश्यत,10
रात्रौ,10
शब्दॊ,10
कस,10
जलम,10
आरुह्य,10
तवैव,10
कस्माद,10
हता,10
आददे,10
चचाल,10
गते,10
खे,10
परीत्या,10
भास्करः,10
लक्ष्म्या,10
कथयाम,10
भाति,10
रथे,10
रथः,10
विदितं,10
दरक्ष्यन्ति,10
सचिवैः,10
मृत्युर,10
सहलक्ष्मणः,10
दशाननः,10
परजा,10
मुहूर्तेन,10
धीमान,10
तवत्कृते,10
आश्रमं,10
पुत्रसहस्राणि,10
वपुषा,10
पश्यन्ति,10
आत्मानम,10
परभाते,10
आगताः,10
गमने,10
गमनं,10
निहते,10
कपिर,10
दैवं,10
वानरं,10
युक्तम,10
कालेन,10
कालस्य,10
युद्धाय,10
मन्दं,10
वक्तुं,10
देवताः,10
कैकेयीं,10
जाम्बवान,10
निहतॊ,10
दीर्घम,10
देवा,10
कार्या,10
वाणीं,10
परश्रितं,10
पतिः,10
वस,10
महर्षयः,10
भयाद,10
तरीन,10
शरुतः,10
शरुतम,10
तस्यैव,10
परवेक्ष्यामि,10
आमन्त्र्य,10
समीपं,10
समीपे,10
गवां,10
शशंस,10
मुनिपुंगवः,10
शूराः,10
लक्ष्मणश,10
परीतः,10
वयादिदेश,10
परिगृह्य,10
रसातलम,10
शत्रून,10
भूतानां,10
आगच्छ,10
ताडयाम,10
दरुमाः,10
हिमवान,10
वाक्यविशारदः,10
शरैस,10
यॊद्धुं,10
आनय,10
महात्मा;,10
ललाटे,9
काञ्चनं,9
दारुणं,9
हर्षम,9
वासॊ,9
ममापि,9
राक्षसेन्द्रॊ,9
आविशत,9
शशाक,9
ऋषिः,9
ऋषिं,9
तरिशिरा,9
वधॊ,9
वधे,9
वधम,9
मैथिलि,9
परियां,9
शरीरं,9
सुतं,9
चैनं,9
वृथा,9
ससैन्यॊ,9
आख्याहि,9
उपागतम,9
उपागतः,9
विविधानि,9
महति,9
रजनी,9
पूजां,9
अभवद,9
शरेष्ठ,9
अब्रवील,9
कषमम,9
सवर्गे,9
समागताः,9
सथानं,9
दण्डकारण्ये,9
निरन्तरम,9
समन्ताद,9
इन्द्रजित,9
परतिगृह्णीष्व,9
देशस्य,9
जञातुम,9
दुःखितॊ,9
पुत्रस,9
करियताम,9
तेजॊ,9
तेजः,9
वदनं,9
तांश,9
दुरात्मनः,9
गुरुः,9
भूमिर,9
दिवाकरः,9
विजयं,9
शुश्रुवे,9
तवरितं,9
उपेत्य,9
रक्षिता,9
जज्वाल,9
परीतिम,9
पादपाः,9
तरातुम,9
आत्मनश,9
अनुस्मरन,9
जानकीम,9
जले,9
बलाद,9
यौवराज्ये,9
वृक्षैः,9
रुदती,9
पुण्यं,9
हताः,9
रणमूर्धनि,9
खम,9
वृतम,9
पराञ्जलयः,9
जनाः,9
परत्युवाचेदं,9
पलवगर्षभाः,9
भविता,9
पराप्तम,9
अभयं,9
इवाम्बरे,9
रॊहिणीम,9
रॊषात,9
तथेत्य,9
नयवर्तत,9
ववन्दे,9
धर्मः,9
पश्यन,9
याति,9
शवॊ,9
लॊकांस,9
तरिभिर,9
तीक्ष्णैः,9
रुरॊद,9
वाप्य,9
संप्रेक्ष्य,9
तस्याः,9
ओजसा,9
खरं,9
विष्णॊः,9
वनानि,9
दक्षिणं,9
सुषेणं,9
शुभां,9
वैरं,9
उवास,9
तपश,9
ससर्ज,9
पतितं,9
पश्चिमां,9
फलानि,9
सागरः,9
परतस्थे,9
विष्णुर,9
तॊयदः,9
राक्षसास,9
निर्बिभेद,9
रमते,9
अगमत,9
साक्षाद,9
धर्मवित,9
आरेभे,9
पतिर,9
मुमॊह,9
धारयितुं,9
नगरी,9
नगरं,9
निशितैः,9
पार्श्वे,9
कृताञ्जलिः,9
यमक्षयम,9
शरुतं,9
संतापं,9
कालम,9
समीपम,9
यदृच्छया,9
विनाशाय,9
गृहाण,9
तापसं,9
वधिष्यति,9
अधिकं,9
शूरॊ,9
मह्यं,9
नरः,9
येषां,9
वानरर्षभाः,9
कीर्तिं,9
बाष्पं,9
माचिरम,9
चित्रं,9
उपागम्य,9
विशालाक्षि,9
वर्षाणि,9
अनृतं,9
राजञ,9
यमसादनम,9
दरुमान,9
निष्पपात,9
इवानलम,9
परेत्य,9
आत्मवान,9
अनाथवत,9
ऋषयॊ,9
तरयॊ,8
शक्तिर,8
शतक्रतुः,8
इवाचलः,8
बद्ध्वा,8
दुष्टात्मा,8
नरर्षभ,8
राक्षसेन्द्रम,8
पराक्रमम,8
वाक्यज्ञॊ,8
भक्षिता,8
रात्रिं,8
शासनम,8
अन्यथा,8
मातुर,8
देशॊ,8
समर्थॊ,8
असौ,8
तमः,8
परमा,8
अतिक्रम्य,8
चैनम,8
इवाभाति,8
शूलं,8
नीलॊ,8
गन्तुं,8
गुणान,8
बभूवुस,8
खरस्य,8
सर्वैः,8
अर्थं,8
पुरम,8
गुहः,8
गुहॊ,8
शरियं,8
वरजेत,8
पुमान,8
महाप्राज्ञ,8
परवीरहा,8
महावेगॊ,8
वरारॊहा,8
देवैर,8
गगने,8
अवाकिरत,8
भरतेन,8
रक्षां,8
तत्रैव,8
गिरिं,8
विषादं,8
विस्मयम,8
परदक्षिणम,8
वधिष्यामि,8
आज्ञाय,8
अस्माकं,8
शक्रः,8
गिरिः,8
जघ्नुर,8
धनुषा,8
लङ्काया,8
रावणिं,8
जग्मुस,8
यशस्विनीम,8
नौर,8
महेन्द्रम,8
राक्षसानाम,8
गच्छन्तं,8
गच्छन्ति,8
तवरितॊ,8
अथाब्रुवन,8
अन्यः,8
मर्दितुम,8
सवयम्भूर,8
आशां,8
अभाषत,8
मार्गम,8
शत्रुघ्न,8
दीनं,8
शक्ताः,8
रिपुम,8
सुमहातेजा,8
समः,8
विनशिष्यति,8
तस्मान,8
पराणा,8
उत्पाट्य,8
दशग्रीवं,8
चतुर्भिः,8
महाबाहुं,8
जनकस्य,8
गतौ,8
वयाहृतं,8
भक्त्या,8
पुरुषं,8
भामिनि,8
परकाशन्ते,8
संपरिष्वज्य,8
मन्त्रिणः,8
मारीचं,8
आविश्य,8
शरीमाञ,8
सुमहत,8
परित्यज्य,8
एनम,8
रणाजिरे,8
रथॊ,8
एष्यति,8
मुनिर,8
तस्थुः,8
आर्यं,8
सहस्रं,8
दवारम,8
आश्रमे,8
आश्रितः,8
बरुवन,8
करॊधमूर्छितः,8
जानीषे,8
सुकृतं,8
कारणम,8
हनूमांश,8
नयपतद,8
आगमिष्यति,8
बुद्ध्वा,8
परष्टुं,8
राजानॊ,8
अशॊकवनिकां,8
अभिगम्य,8
भवता,8
हनूमता,8
पृथक,8
दुर्मतिः,8
अङ्गदः,8
शर्वरी,8
मुखं,8
निहता,8
निहतः,8
बुध्यसे,8
दिव्यम,8
रावणाय,8
विप्रियं,8
विमले,8
सर्वरक्षसाम,8
सखा,8
अङ्गदॊ,8
अग्निं,8
दीप्ततेजसं,8
शेकुर,8
अपातयत,8
कृताः,8
तरैलॊक्यं,8
पश्यतु,8
मुनिपुंगव,8
अभ्यधावन्त,8
गगनं,8
शासनात,8
दीयताम,8
शॊणितम,8
मांसानि,8
धारयन,8
विससर्ज,8
नाद्य,8
दृष्टं,8
बरह्मलॊकं,8
पतिम,8
कुर्वन्ति,8
दुःखाद,8
खल्व,8
परतिज्ञाम,8
दिव्या,8
काश,8
इहैव,8
वाल्मीकिर,8
अन्यैश,8
एषां,8
कारयाम,8
इवाबभौ,8
तुमुलं,8
धनं,8
चिन्तां,8
अप्रियम,8
भरते,8
भीता,8
वाक्यैर,8
ररास,8
वनौकसः,8
कुञ्जरम,8
यत्नं,8
नय,8
यावन,8
कालाग्निर,8
इच्छाम्य,8
सूतम,8
परहृष्टा,8
दैवतं,8
नरा,8
कुर्वन,8
ततश,8
दण्डकावनम,8
तस्मिंस,8
महाहवे,8
धिग,8
पश्चाद,8
सन्ति,8
मुखेन,8
पुरॊहितम,8
भान्ति,8
कृथाः,8
षष्टिः,8
संक्रुद्धः,8
कृतवान,8
शरीर,8
संप्रति,8
वानर,8
राक्षसस्य,8
अद्भुतम,8
सुग्रीवे,8
चाहं,8
मॊहम,8
आहुर,8
जगामाकाशम,7
परियाम,7
चतुरॊ,7
एतच,7
नराधिपः,7
मुहूर्ते,7
पुरतः,7
दशरथात्मजम,7
वसुंधरा,7
दविजान,7
इवान्तकः,7
यमस्य,7
पुप्लुवे,7
शरीरे,7
अग्नेर,7
आनयिष्यामि,7
कर्मसु,7
गुहाम,7
जाम्बवन्तं,7
उत्तिष्ठ,7
चेदं,7
संगतः,7
सशरं,7
वानरम,7
बुद्धिमान,7
लाङ्गूलं,7
नीलः,7
कथां,7
संप्राप्तः,7
परिशुष्यता,7
यथॊक्तं,7
सीतेति,7
दास्यामि,7
आत्मजम,7
यानि,7
वीर्येण,7
गुणाः,7
हरियूथपः,7
रामेणाक्लिष्टकर्मणा,7
परणिपत्य,7
भुङ्क्ष्व,7
सुरसा,7
महीम,7
महामुनिम,7
माल्यवान,7
जग्मतुर,7
