Continent,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Europe,Italy,46366767,46786118,47171699,47522671,47841004,48131479,48401893,48662851,48927140,49208667,49519312,49865553,50245528,50647763,51054762,51453513,51839323,52215095,52584254,52952971,53324772,53700117,54074032,54438147,54781374,55095516,55377233,55627789,55849349,56046086,56221171,56376115,56510204,56622072,56709575,56772141,56808914,56823401,56824700,56824792,56832330,56856059,56895154,56937520,56965197,56968039,56938342,56888300,56851522,56873677,56986329,57199219,57498867,57864332,58263782,58671206,59082100,59495243,59891479
Africa,South Africa,13683162,13993912,14322458,14665211,15019719,15384665,15759932,16146536,16546450,16962304,17396477,17850139,18322409,18809986,19308185,19813932,20325179,20843695,21374801,21926000,22502306,23106584,23736249,24384286,25040691,25698624,26353940,27009603,27674353,28360792,29077186,29828924,30611185,31409842,32204995,32983394,33734360,34464223,35196881,35966236,36793907,37690924,38641823,39609488,40542036,41402400,42175740,42873355,43516225,44137342,44760380,45389577,46015405,46631364,47226670,47792787,48330914,48842462,49319363
Asia,"Korea, Rep.",19211386,19304677,19566709,19978822,20520266,21168216,21897498,22680855,23489746,24295670,25074152,25808981,26495936,27144368,27772698,28395140,29009251,29610399,30208614,30816726,31443029,32094421,32766592,33442949,34099932,34721507,35299344,35840876,36364813,36898192,37459530,38054603,38674216,39303579,39920981,40509932,41066824,41594331,42089874,42552039,42980365,43372546,43729283,44057249,44365820,44662143,44949627,45227776,45495222,45749004,45987624,46210554,46420867,46624837,46830699,47044126,47267733,47499360,47733951
Asia,Myanmar,17157508,17463258,17786203,18127006,18485791,18862149,19255085,19663071,20084160,20516191,20957397,21407053,21866045,22337108,22824142,23330184,23854648,24397064,24960539,25548930,26164131,26807570,27475978,28160632,28849728,29534378,30210895,30880196,31543652,32204485,32864901,33524053,34179992,34832636,35481981,36127741,36770437,37409257,38041034,38661616,39268304,39855885,40425088,40985963,41552659,42133199,42735941,43352191,43952526,44496687,44957660,45323903,45609292,45843675,46070248,46321162,46605278,46915826,47250315
Europe,Spain,28069737,28236442,28427994,28637153,28858741,29089637,29328890,29577608,29838623,30115936,30413044,30731163,31067664,31415410,31764645,32108561,32443113,32770565,33098047,33436107,33791761,34165661,34553119,34949102,35346395,35738587,36124485,36501995,36862658,37196233,37495321,37757496,37984198,38177151,38339878,38476148,38586351,38673057,38745231,38814280,38889158,38979222,39086335,39203352,39318577,39426834,39519508,39608652,39734033,39948910,40288457,40767010,41364726,42039800,42732092,43395441,44017887,44604384,45146258
South America,Colombia,11999600,12344434,12697334,13060599,13436142,13825474,14229713,14649582,15085424,15537230,16004714,16487391,16984652,17495793,18019927,18555731,19104020,19663029,20225830,20783427,21329811,21861689,22381887,22898136,23421644,23960605,24517307,25089511,25675364,26271401,26874906,27485678,28104254,28729367,29359535,29993539,30630754,31270841,31913250,32557521,33203321,33849971,34497319,35146220,35797965,36453337,37112621,37775054,38439099,39102653,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782
Africa,Tanzania,7649766,7847333,8055939,8274761,8503222,8740991,8987990,9244386,9510560,9787066,10074485,10373274,10683638,11005471,11338515,11682835,12038154,12405300,12786751,13185749,13604523,14044480,14504837,14982938,15474884,15977990,16491445,17016577,17555450,18111097,18685789,19281182,19897071,20531760,21182600,21848290,22525148,23215060,23928658,24680404,25478979,26331511,27230502,28152305,29064223,29943732,30783155,31592450,32388671,33197305,34038161,34917073,35832494,36788281,37786946,38831024,39923609,41068185,42267667
South America,Argentina,17150335,17506378,17865382,18223955,18579614,18930778,19276813,19617988,19955368,20290620,20625451,20961000,21297317,21633126,21966478,22296628,22622012,22944941,23273148,23616971,23983358,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298
Africa,Kenya,6076757,6240179,6412384,6593131,6782310,6979952,7186225,7401433,7626008,7860482,8105435,8361428,8628949,8908388,9200107,9504635,9822419,10154382,10502123,10867576,11252318,11657321,12082989,12529622,12997274,13486116,13995982,14527391,15081923,15661593,16267558,16899958,17557466,18237830,18937969,19655192,20387701,21134404,21894026,22665447,23447177,24240108,25042330,25846436,26642887,27425720,28191597,28944780,29696410,30462154,31253701,32076186,32927864,33805301,34702176,35614576,36540948,37485246,38455418
Europe,Poland,24824013,25383633,25919296,26417754,26871945,27280997,27650608,27992667,28324111,28665037,29033001,29436954,29871931,30316767,30740557,31121621,31453366,31744824,32008949,32265420,32529022,32803069,33084382,33373543,33669650,33971911,34279654,34593234,34913558,35241738,35577214,35921102,36269149,36608819,36923674,37201804,37438003,37634787,37797656,37935815,38056174,38160714,38247716,38316289,38364540,38391778,38398942,38389116,38366420,38336047,38302444,38266810,38230497,38198151,38175134,38165040,38170330,38189762,38218462
Africa,Algeria,8752997,8953373,9140990,9326099,9515990,9715002,9924347,10142284,10364614,10585506,10799997,11006643,11209845,11420845,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028
North America,Canada,13736997,14132558,14518772,14909614,15314040,15735988,16174093,16621974,17069068,17502043,17909009,18284009,18630957,18965320,19309343,19678005,20078135,20501867,20931716,21342600,21716855,22048431,22344104,22614673,22876657,23142272,23416090,23695198,23975639,24250641,24516277,24769849,25016047,25266950,25538860,25842588,26183106,26554540,26943398,27330298,27700854,28051725,28386162,28704519,29009032,29302092,29582222,29850242,30113972,30383823,30667365,30967236,31281727,31608562,31943605,32283413,32627978,32977334,33327954
Africa,Sudan,7309769,7462786,7627408,7801653,7983886,8172814,8367493,8567322,8772025,8981616,9196306,9416392,9642172,9873906,10111923,10356949,10608998,10869525,11142482,11432923,11744590,12079205,12436311,12814718,13212203,13627096,14057092,14502283,14965920,15452659,15964476,16505106,17069788,17641875,18198981,18726053,19215610,19674861,20121591,20581590,21073606,21603126,22164751,22753100,23358732,23974432,24601180,25241197,25889911,26541630,27193105,27840967,28488328,29146386,29830604,30551777,31314098,32113409,32941836
Africa,Uganda,5158193,5306689,5453244,5599541,5747415,5898851,6056012,6221214,6396841,6585220,6788219,7006823,7240764,7488366,7746988,8014352,8290837,8576166,8866641,9157569,9445932,9730174,10012125,10296444,10589763,10897136,11221247,11561734,11917048,12284315,12662131,13049012,13447769,13866291,14315090,14801113,15327718,15891143,16482365,17088426,17699717,18314701,18935726,19561967,20193432,20831075,21473592,22123185,22788843,23482533,24213120,24984181,25794397,26641627,27521632,28431204,29370251,30339895,31339392
Africa,Morocco,8953000,9167716,9390159,9623715,9870670,10132210,10408363,10698059,10999295,11309424,11625999,11947688,12275060,12610932,12959397,13323000,13703369,14098444,14502647,14908265,15309995,15706226,16099392,16493298,16893643,17304995,17726625,18158169,18604851,19073204,19566920,20088209,20633004,21190800,21747150,22291062,22818601,23330761,23827539,24310585,24781105,25237951,25679802,26107772,26523600,26928600,27323664,27708647,28082684,28444414,28793236,29129204,29453931,29770316,30082152,30392473,30702084,31011199,31321453
Asia,Afghanistan,8151455,8276820,8407148,8542906,8684494,8832253,8986449,9147286,9314915,9489453,9671046,9859928,10056480,10261254,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13766792,14003408,14179656,14249493,14185729,13984092,13672870,13300056,12931791,12625292,12372113,12183387,12156685,12414686,13032161,14069854,15472076,17053213,18553819,19789880,20684982,21299350,21752257,22227543,22856302,23677385,24639841,25678639,26693486,27614718,28420974,29145841,29839994
Asia,Iraq,5719192,5915805,6092562,6255685,6410642,6562134,6714083,6869646,7031285,7200857,7379922,7570069,7773193,7991619,8227763,8483109,8759064,9054873,9367055,9690613,10021785,10358219,10700247,11049889,11410460,11783644,12170881,12569201,12970635,13364514,13743534,14106693,14457565,14799456,15137560,15477228,15818309,16164205,16528250,16927393,17373767,17871623,18417924,19008018,19633844,20288226,20972915,21686777,22416190,23143629,23857458,24552000,25233067,25914982,26618523,27359461,28140999,28960581,29821136
